epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.55673,1.5071,3.07256,1.18711,0.00333,1,0.41916,0.27231,1.08773,3.40406,0.9356,0.00042,0.00042,0.00042
2,9.2257,1.25771,1.71414,1.07191,0.80354,0.30303,0.33502,0.24235,1.13816,3.28048,0.9533,0.000851486,0.000851486,0.000851486
3,12.8399,1.25468,1.57922,1.10191,0.46978,0.25758,0.30085,0.16688,1.41013,2.90199,1.11256,0.00127426,0.00127426,0.00127426
4,16.3465,1.31375,1.60705,1.1496,0.42645,0.43939,0.46445,0.25516,1.34441,2.25319,1.10849,0.00168832,0.00168832,0.00168832
5,19.857,1.22948,1.4229,1.07498,0.56008,0.36364,0.48308,0.32459,1.17013,2.0146,1.04101,0.0019208,0.0019208,0.0019208
6,23.3323,1.23595,1.24816,1.07224,0.77017,0.91394,0.9024,0.62898,1.20862,1.30396,1.08069,0.001901,0.001901,0.001901
7,26.819,1.24825,1.18014,1.1146,0.71437,0.86364,0.81924,0.53064,1.31416,1.60666,1.10605,0.0018812,0.0018812,0.0018812
8,30.3124,1.22561,1.1022,1.10469,0.81954,0.89451,0.91765,0.61166,1.13484,1.31361,1.06893,0.0018614,0.0018614,0.0018614
9,33.8993,1.17117,0.9991,1.06154,0.91727,0.81818,0.89983,0.58595,1.20952,1.35567,1.09245,0.0018416,0.0018416,0.0018416
10,37.4196,1.16025,0.92422,1.05633,0.97013,0.9843,0.98205,0.5917,1.18654,0.99778,1.05765,0.0018218,0.0018218,0.0018218
11,40.9826,1.15467,0.9245,1.06288,0.97287,0.9697,0.98574,0.63813,1.17858,0.79315,1.04592,0.001802,0.001802,0.001802
12,44.5597,1.13777,0.87414,1.03495,0.99807,1,0.995,0.68482,1.13672,0.76545,1.01426,0.0017822,0.0017822,0.0017822
13,48.1171,1.11023,0.81172,1.04261,0.97001,0.98018,0.98823,0.62588,1.17474,0.78833,1.06566,0.0017624,0.0017624,0.0017624
14,51.8729,1.14139,0.79825,1.03533,0.98493,0.9906,0.99485,0.62986,1.06261,0.65646,1.01676,0.0017426,0.0017426,0.0017426
15,55.3875,1.09052,0.78252,1.04567,0.94627,1,0.98877,0.70258,0.95142,0.61063,0.97988,0.0017228,0.0017228,0.0017228
16,58.905,1.16107,0.77691,1.0412,0.9935,1,0.995,0.6899,1.104,0.61828,1.01817,0.001703,0.001703,0.001703
17,62.4715,1.08615,0.74998,1.03024,0.98008,1,0.99306,0.70643,1.01906,0.6579,1.00158,0.0016832,0.0016832,0.0016832
18,66.0283,1.07642,0.74515,1.01908,0.93952,0.95455,0.96252,0.67071,1.05217,0.75481,1.00069,0.0016634,0.0016634,0.0016634
19,69.5519,1.10241,0.72231,1.02294,0.96746,1,0.97824,0.71114,1.09985,0.65751,1.02059,0.0016436,0.0016436,0.0016436
20,73.1587,1.09298,0.75075,1.04117,0.98237,0.98485,0.99426,0.69073,1.10145,0.59745,1.02343,0.0016238,0.0016238,0.0016238
21,76.6506,1.05073,0.70708,1.01141,0.98484,0.9845,0.9917,0.70835,1.00585,0.5914,1.00959,0.001604,0.001604,0.001604
22,80.1929,1.04245,0.71165,1.01632,0.95432,1,0.99339,0.65571,1.10064,0.61063,1.02853,0.0015842,0.0015842,0.0015842
23,83.781,1.06473,0.70327,1.04301,0.99071,0.9697,0.98317,0.65907,1.1295,0.60823,1.01513,0.0015644,0.0015644,0.0015644
24,87.3536,1.02841,0.67158,0.99469,0.9981,0.98485,0.99357,0.66484,1.11215,0.62173,1.00429,0.0015446,0.0015446,0.0015446
25,90.9383,1.01646,0.66589,1.00856,1,0.96761,0.9937,0.67865,1.10112,0.58688,1.00136,0.0015248,0.0015248,0.0015248
26,94.7252,1.0257,0.65535,1.00861,1,0.99985,0.995,0.66192,1.12575,0.56409,1.02275,0.001505,0.001505,0.001505
27,98.2643,1.06802,0.66353,1.0185,0.98132,1,0.9944,0.67359,1.08945,0.55076,1.00424,0.0014852,0.0014852,0.0014852
