epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1101,0.93907,0.78981,1.0173,0.99154,0.99974,0.99493,0.77876,0.82079,0.4724,0.91626,0.000473179,0.000473179,0.000473179
2,95.3077,0.88547,0.62787,0.99022,0.99158,0.99909,0.99488,0.78119,0.83964,0.50804,0.94988,0.000943245,0.000943245,0.000943245
3,134.78,0.88678,0.58858,1.00585,0.98293,0.98752,0.99491,0.78192,0.84319,0.49632,0.93796,0.00140702,0.00140702,0.00140702
4,176.364,0.88955,0.55942,1.01174,0.96894,0.98407,0.98677,0.78817,0.7939,0.49627,0.9231,0.00140071,0.00140071,0.00140071
5,212.538,0.87244,0.52276,1.00671,0.99483,0.99659,0.995,0.77715,0.83656,0.46627,0.95851,0.00139127,0.00139127,0.00139127
6,248.118,0.8633,0.50637,1.00323,0.99916,0.99905,0.995,0.80419,0.79832,0.42089,0.92968,0.00138184,0.00138184,0.00138184
7,283.461,0.86253,0.49127,1.00566,0.98499,0.99946,0.99195,0.79728,0.77861,0.43614,0.93536,0.00137241,0.00137241,0.00137241
8,318.666,0.83344,0.46854,0.99081,0.9981,1,0.995,0.80197,0.78447,0.40031,0.92809,0.00136298,0.00136298,0.00136298
9,353.776,0.83486,0.46586,0.99161,0.99498,0.9987,0.99446,0.8052,0.7704,0.39729,0.92014,0.00135355,0.00135355,0.00135355
10,389.056,0.84344,0.46286,0.99433,0.98619,0.99938,0.995,0.80844,0.77378,0.44272,0.92469,0.00134412,0.00134412,0.00134412
11,424.525,0.82287,0.45376,0.99027,0.99583,1,0.99463,0.80877,0.77519,0.4024,0.92335,0.00133469,0.00133469,0.00133469
12,461.481,0.8105,0.44137,0.98744,0.99781,1,0.99498,0.82197,0.7629,0.3821,0.92765,0.00132525,0.00132525,0.00132525
13,496.63,0.81046,0.42376,0.9836,0.99748,1,0.99485,0.81319,0.76673,0.37728,0.92993,0.00131582,0.00131582,0.00131582
14,532.295,0.81096,0.42964,0.9931,0.99937,1,0.995,0.80841,0.76158,0.37801,0.92535,0.00130639,0.00130639,0.00130639
